image_name,resized_size,patch_size,Avg_ref_h,Avg_ref_z,mean_box_size,diff_patch_mbs,mae, score
Image_3282,384,48,57,63,60,12,1,0.6
Image_3281,384,48,90,57,74,26,4,0.7
Image_3279,384,48,44,59,52,4,3,0.75
Image_3278,384,48,55,41,48,0,7,0.7
Image_3275,384,48,80,72,76,28,6,0.2
Image_3271,384,48,96,102,99,51,15,0.4
Image_3270,384,48,68,80,74,26,1,0.7
Image_3268,384,48,68,77,72,24,1,0.75
Image_3160,384,48,89,93,91,43,2,0.7
Image_2956,384,48,81,46,64,16,5,0.4
Image_2955,384,48,39,31,35,13,5,0.75
Image_2954,384,48,47,78,62,14,3,0.7
Image_2952,384,48,28,59,44,4,5,0.7
Image_2951,384,48,39,68,54,6,3,0.8
Image_2949,384,48,87,37,62,14,23,0.3
Image_2948,384,48,80,78,79,31,0,0.2
Image_2947,384,48,51,60,56,8,1,0.6
Image_2946,384,48,72,63,68,20,1,0.5
Image_2945,384,48,75,52,64,16,5,0.65
Image_2944,384,48,37,59,48,0,3,0.8
Image_2943,384,48,58,60,59,11,4,0.6
Image_2942,384,48,48,48,48,0,5,0.5
Image_2941,384,48,86,82,84,36,3,0.2
Image_2939,384,48,24,32,28,20,14,0.5
Image_2938,384,48,79,68,74,26,1,0.3
Image_2937,384,48,44,44,44,4,33,0.3
Image_2936,384,48,84,54,69,21,8,0.4
Image_2935,384,48,83,41,62,14,0,0.2
Image_2933,384,48,53,36,44,4,7,0.75
Image_2932,384,48,94,54,74,26,7,0.3
Image_2931,384,48,59,49,54,6,5,0.8
Image_2930,384,48,35,46,40,8,9,0.85
Image_2929,384,48,37,35,36,12,7,0.6
Image_2927,384,48,30,46,38,10,0,0.6
Image_2926,384,48,94,53,74,26,10,0.5
Image_2924,384,48,47,45,46,2,3,0.85
Image_2923,384,48,53,34,44,4,29,0.5
Image_2922,384,48,75,66,70,22,0,0.7
Image_2921,384,48,67,55,61,13,1,0.5
Image_2920,384,48,40,79,60,12,10,0.7
Image_2918,384,48,47,49,48,0,12,0.5
Image_2916,384,48,17,18,18,30,51,0.75
Image_2915,384,48,45,48,46,2,3,0.7
Image_2914,384,48,33,76,54,6,2,0.85
Image_2913,384,48,69,72,70,22,7,0.4
Image_2912,384,48,34,36,35,13,1,0.9
Image_2910,384,48,49,177,113,65,9,0.2
Image_2908,384,48,44,53,48,0,0,0.8
Image_2248,384,48,38,56,47,1,12,0.85
Image_2225,384,48,94,109,102,54,0,0.8
Image_2209,384,48,100,148,124,76,2,0.4
Image_2203,384,48,64,100,82,34,3,0.5
Image_2195,384,48,122,115,118,70,4,0.6
Image_2177,384,48,79,128,104,56,2,0.85
Image_2165,384,48,81,104,92,44,11,0.85
Image_2155,384,48,101,95,98,50,4,0.85
Image_2152,384,48,72,127,100,52,5,0.4
Image_2142,384,48,76,87,82,34,3,0.8
Image_2141,384,48,83,109,96,48,1,0.7
Image_2138,384,48,53,83,68,20,6,0.7
Image_2140,384,48,77,73,75,27,5,0.8
Image_2051,384,48,102,56,79,31,6,0.5
Image_2036,384,48,76,51,64,16,5,0.6
Image_2035,384,48,108,40,74,26,13,0.5
Image_2026,384,48,83,58,70,22,7,0.6
Image_2019,384,48,119,81,100,52,16,0.3
Image_2018,384,48,34,73,54,6,29,0.4
Image_2011,384,48,55,35,45,3,53,0.7
Image_2009,384,48,29,22,26,22,316,0.3
Image_2008,384,48,51,46,48,0,77,0.5
Image_2007,384,48,41,36,38,10,46,0.4
Image_2005,384,48,31,24,28,20,195,0.4
Image_2004,384,48,35,22,28,20,253,0.4
Image_1493,384,48,17,28,22,26,52,0.2
Image_1463,384,48,31,37,34,14,12,0.7
Image_1461,384,48,15,23,19,29,69,0.6
Image_1456,384,48,15,21,18,30,60,0.65
Image_1130,384,48,15,10,12,36,22,0.1
Image_1106,384,48,31,28,30,18,2,0.3
Image_998,384,48,34,42,38,10,1,0.4
Image_996,384,48,59,78,68,20,1,0.3
Image_993,384,48,59,75,67,19,5,0.7
Image_991,384,48,18,29,24,24,18,0.65
Image_990,384,48,19,27,23,25,2,0.5
Image_989,384,48,27,82,54,6,4,0.4
Image_988,384,48,57,114,86,38,4,0.3
Image_985,384,48,30,46,38,10,13,0.2
Image_907,384,48,48,125,86,38,13,0.0
Image_906,384,48,13,28,20,28,10,0.5
Image_701,384,48,40,73,56,8,9,0.8
Image_693,384,48,61,84,72,24,4,0.9
Image_680,384,48,53,145,99,51,6,0.4
Image_349,384,48,51,100,76,28,8,0.7
Image_342,384,48,49,64,56,8,6,0.75
Image_336,384,48,35,45,40,8,140,0.0
Image_330,384,48,84,111,98,50,30,0.75
Image_317,384,48,16,25,20,28,5,0.4
Image_313,384,48,83,125,104,56,31,0.6
Image_293,384,48,45,72,58,10,15,0.7
Image_291,384,48,54,99,76,28,4,0.7
Image_286,384,48,53,87,70,22,6,0.7
Image_2,384,48,50,82,66,18,2,0.75
Image_7645,384,64,43,145,94,30,26,0.5
Image_7095,384,64,35,116,76,12,33,0.6
Image_7661,384,64,30,41,36,28,15,0.5
Image_7662,384,64,47,35,41,23,4,0.8
Image_6661,384,64,11,12,12,52,67,0.6
Image_6660,384,64,279,30,154,90,5,0.3
Image_6659,384,64,40,323,182,118,6,0.2
Image_6658,384,64,15,9,12,52,168,0.0
Image_6657,384,64,25,25,25,39,12,0.7
Image_6656,384,64,29,30,30,34,9,0.8
Image_6655,384,64,9,73,41,23,32,0.3
Image_6653,384,64,17,21,19,45,13,0.85
Image_6652,384,64,41,79,60,4,3,0.7
Image_6651,384,64,40,151,96,32,4,0.1
Image_6650,384,64,75,90,82,18,12,0.5
Image_6649,384,64,17,46,32,32,4,0.5
Image_6648,384,64,20,19,20,44,9,0.5
Image_6645,384,64,34,32,33,31,1,1.0
Image_6644,384,64,6,12,9,55,116,0.5
Image_5944,384,64,40,57,48,16,2,0.1
Image_5940,384,64,78,79,78,14,12,0.2
Image_5939,384,64,83,133,108,44,5,0.2
Image_5938,384,64,57,88,72,8,9,0.3
Image_5936,384,64,54,69,62,2,10,0.3
Image_5934,384,64,61,84,72,8,0,0.3
Image_5933,384,64,79,44,62,2,1,0.2
Image_5932,384,64,99,64,82,18,3,0.8
Image_5931,384,64,86,137,112,48,5,0.0
Image_5930,384,64,65,71,68,4,1,0.4
Image_5929,384,64,32,57,44,20,28,0.5
Image_5926,384,64,42,73,58,6,2,0.7
Image_5925,384,64,138,98,118,54,13,0.2
Image_5924,384,64,101,103,102,38,9,0.4
Image_5923,384,64,81,68,74,10,0,0.3
Image_5922,384,64,26,36,31,33,14,0.4
Image_5921,384,64,51,76,64,0,8,0.3
Image_5918,384,64,72,53,62,2,4,0.2
Image_5917,384,64,53,74,64,0,2,0.2
Image_5915,384,64,49,56,52,12,0,0.4
Image_5602,384,64,54,74,64,0,10,0.5
Image_5601,384,64,54,74,64,0,7,0.4
Image_5600,384,64,21,24,22,42,13,0.85
Image_5598,384,64,58,79,68,4,23,0.4
Image_5596,384,64,35,49,42,22,2,0.8
Image_5595,384,64,69,92,80,16,1,0.4
Image_5594,384,64,60,77,68,4,14,0.4
Image_5593,384,64,49,65,57,7,5,0.6
Image_5592,384,64,37,21,29,35,10,0.85
Image_5591,384,64,65,47,56,8,12,0.65
Image_5590,384,64,74,102,88,24,1,0.5
Image_5588,384,64,36,42,39,25,21,0.4
Image_5587,384,64,57,72,64,0,10,0.5
Image_5585,384,64,44,59,52,12,15,0.6
Image_5584,384,64,37,27,32,32,11,0.7
Image_5583,384,64,52,68,60,4,2,0.65
Image_5582,384,64,37,38,38,26,15,0.65
Image_5581,384,64,72,101,86,22,2,0.5
Image_5580,384,64,42,48,45,19,12,0.5
Image_5576,384,64,44,48,46,18,13,0.4
Image_5575,384,64,69,73,71,7,5,0.35
Image_5574,384,64,20,21,20,44,17,0.8
Image_5573,384,64,42,43,42,22,3,0.8
Image_5572,384,64,60,96,78,14,7,0.2
Image_5571,384,64,51,65,58,6,6,0.6
Image_5568,384,64,38,49,44,20,13,0.4
Image_5567,384,64,45,41,43,21,6,0.7
Image_5566,384,64,60,74,67,3,4,0.85
Image_5563,384,64,17,12,14,50,35,0.5
Image_5390,384,64,84,53,68,4,5,0.5
Image_5386,384,64,51,77,64,0,2,0.6
Image_5382,384,64,48,65,56,8,2,0.1
Image_5380,384,64,94,76,85,21,1,0.6
Image_5378,384,64,76,73,74,10,1,0.7
Image_5376,384,64,100,77,88,24,3,0.7
Image_5375,384,64,100,79,90,26,5,0.4
Image_5372,384,64,57,47,52,12,13,0.4
Image_5371,384,64,53,52,52,12,20,0.75
Image_5369,384,64,42,50,46,18,3,0.4
Image_5368,384,64,26,24,25,39,13,0.75
Image_5367,384,64,19,31,25,39,28,0.85
Image_5366,384,64,26,37,32,32,1,0.75
Image_5364,384,64,49,56,52,12,7,0.5
Image_5363,384,64,31,40,36,28,4,0.65
Image_5361,384,64,29,43,36,28,9,0.6
Image_5360,384,64,29,40,34,30,2,0.75
Image_5359,384,64,17,24,20,44,3,1.0
Image_5358,384,64,55,73,64,0,4,0.85
Image_5149,384,64,25,32,28,36,17,0.5
Image_5143,384,64,23,45,34,30,17,0.6
Image_5142,384,64,22,29,26,38,15,0.4
Image_4970,384,64,35,46,40,24,6,0.4
Image_4969,384,64,38,28,33,31,21,0.6
Image_4967,384,64,65,99,82,18,3,0.3
Image_4966,384,64,60,83,72,8,17,0.4
Image_4965,384,64,75,120,98,34,5,0.7
Image_4964,384,64,41,55,48,16,18,0.5
Image_4963,384,64,19,31,25,39,44,0.8
Image_4962,384,64,37,41,39,25,3,0.85
Image_4961,384,64,10,17,14,50,64,0.6
Image_4960,384,64,59,84,72,8,6,0.5
Image_4959,384,64,38,62,50,14,0,0.3
Image_4958,384,64,44,60,52,12,7,0.7
Image_4957,384,64,26,35,30,34,29,0.6
Image_4956,384,64,27,45,36,28,18,0.8
Image_4955,384,64,35,46,40,24,9,0.85
Image_4954,384,64,43,66,54,10,1,0.3
Image_4953,384,64,30,52,41,23,15,0.5
Image_4952,384,64,19,23,21,43,73,0.6
Image_4951,384,64,22,19,20,44,45,0.6
Image_4950,384,64,41,54,48,16,10,0.65
Image_4949,384,64,24,35,30,34,11,0.5
Image_4948,384,64,81,140,110,46,10,0.4
Image_4947,384,64,20,35,28,36,64,0.8
Image_4946,384,64,40,56,48,16,12,0.5
Image_4945,384,64,33,44,38,26,5,0.4
Image_4944,384,64,24,32,28,36,27,0.3
Image_4943,384,64,42,64,53,11,26,0.7
Image_4942,384,64,49,78,64,0,20,0.6
Image_4941,384,64,31,42,36,28,16,0.8
Image_4940,384,64,53,98,76,12,12,0.6
Image_4939,384,64,70,95,82,18,2,0.75
Image_4938,384,64,26,51,38,26,20,0.6
Image_4933,384,64,77,59,68,4,2,0.75
Image_4924,384,64,36,59,48,16,8,0.7
Image_4923,384,64,39,59,49,15,1,0.7
Image_4908,384,64,42,74,58,6,9,0.7
Image_4904,384,64,60,86,73,9,4,0.65
Image_4903,384,64,56,73,64,0,2,0.7
Image_4885,384,64,51,41,46,18,2,0.7
Image_4875,384,64,57,74,66,2,12,0.6
Image_4874,384,64,43,66,54,10,26,0.8
Image_4502,384,64,23,312,168,104,19,0.1
Image_4501,384,64,20,321,170,106,15,0.1
Image_4500,384,64,44,351,198,134,4,0.2
Image_4497,384,64,24,301,162,98,36,0.1
Image_4496,384,64,27,337,182,118,92,0.0
Image_4494,384,64,14,285,150,86,70,0.0
Image_4493,384,64,19,308,164,100,8,0.2
Image_4409,384,64,48,80,64,0,11,0.5
Image_4407,384,64,20,39,30,34,12,0.7
Image_4406,384,64,13,27,20,44,1,0.9
Image_4296,384,64,59,67,63,1,3,0.6
Image_4286,384,64,17,27,22,42,59,0.9
Image_4175,384,64,78,126,102,38,5,0.5
Image_4170,384,64,29,119,74,10,16,0.3
Image_4123,384,64,69,61,65,1,1,0.85
Image_4122,384,64,68,111,90,26,2,0.6
Image_4121,384,64,69,108,88,24,8,0.6
Image_4120,384,64,43,56,50,14,20,0.7
Image_4119,384,64,78,112,95,31,5,0.5
Image_4116,384,64,59,80,70,6,0,0.5
Image_4115,384,64,39,72,56,8,2,0.4
Image_4113,384,64,40,57,48,16,24,0.4
Image_4111,384,64,35,42,38,26,10,0.2
Image_4110,384,64,132,52,92,28,7,0.7
Image_4089,384,64,31,60,46,18,18,0.6
Image_4088,384,64,46,59,52,12,1,0.6
Image_4087,384,64,40,31,36,28,16,0.8
Image_4086,384,64,53,75,64,0,2,0.7
Image_4085,384,64,26,36,31,33,9,0.8
Image_4084,384,64,44,57,50,14,1,0.75
Image_4083,384,64,54,54,54,10,35,0.75
Image_4082,384,64,28,22,25,39,9,0.8
Image_4079,384,64,44,61,52,12,5,0.8
Image_4078,384,64,32,52,42,22,0,0.75
Image_4077,384,64,17,34,26,38,52,0.7
Image_4074,384,64,48,62,55,9,3,0.75
Image_4073,384,64,65,60,62,2,1,0.8
Image_4072,384,64,65,86,76,12,2,0.3
Image_4069,384,64,35,26,30,34,15,0.8
Image_4068,384,64,71,99,85,21,4,0.6
Image_4067,384,64,38,52,45,19,1,0.8
Image_4066,384,64,72,98,85,21,3,0.2
Image_4065,384,64,51,40,46,18,2,0.7
Image_4063,384,64,57,57,57,7,6,0.5
Image_4062,384,64,15,25,20,44,0,0.5
Image_3697,384,64,149,108,128,64,1,0.4
Image_3696,384,64,146,126,136,72,6,0.3
Image_3694,384,64,57,86,72,8,3,0.8
Image_3693,384,64,44,54,49,15,7,0.7
Image_3651,384,64,89,114,102,38,6,0.4
Image_3650,384,64,47,81,64,0,8,0.3
Image_3645,384,64,45,49,47,17,18,0.4
Image_3644,384,64,63,61,62,2,7,0.1
Image_3501,384,64,30,41,36,28,1,0.7
Image_3500,384,64,51,70,60,4,2,0.8
Image_3494,384,64,85,53,69,5,5,0.75
Image_3342,384,64,72,112,92,28,1,0.8
Image_3341,384,64,52,57,54,10,3,0.8
Image_3339,384,64,67,94,80,16,12,0.75
Image_3329,384,64,15,10,12,52,91,0.4
Image_3310,384,64,40,50,45,19,10,0.8
Image_3309,384,64,49,80,64,0,4,0.7
Image_3284,384,64,80,92,86,22,4,0.75
Image_3283,384,64,31,32,32,32,8,0.6
Image_3282,384,64,57,63,60,4,3,0.4
Image_3281,384,64,90,57,74,10,4,0.7
Image_3279,384,64,44,59,52,12,4,0.8
Image_3278,384,64,55,41,48,16,18,0.7
Image_3275,384,64,80,72,76,12,12,0.6
Image_3271,384,64,96,102,99,35,10,0.4
Image_3270,384,64,68,80,74,10,5,0.8
Image_3268,384,64,68,77,72,8,1,0.5
Image_3160,384,64,89,93,91,27,3,0.5
Image_2956,384,64,81,46,64,0,7,0.7
Image_2955,384,64,39,31,35,29,17,0.7
Image_2954,384,64,47,78,62,2,19,0.5
Image_2952,384,64,28,59,44,20,3,0.75
Image_2951,384,64,39,68,54,10,1,0.75
Image_2949,384,64,87,37,62,2,11,0.7
Image_2948,384,64,80,78,79,15,6,0.5
Image_2947,384,64,51,60,56,8,1,0.7
Image_2946,384,64,72,63,68,4,5,0.5
Image_2945,384,64,75,52,64,0,6,0.7
Image_2944,384,64,37,59,48,16,0,0.8
Image_2943,384,64,58,60,59,5,11,0.7
Image_2942,384,64,48,48,48,16,7,0.7
Image_2941,384,64,86,82,84,20,5,0.2
Image_2939,384,64,24,32,28,36,13,0.5
Image_2938,384,64,79,68,74,10,1,0.2
Image_2937,384,64,44,44,44,20,31,0.5
Image_2936,384,64,84,54,69,5,3,0.3
Image_2935,384,64,83,41,62,2,1,0.3
Image_2933,384,64,53,36,44,20,57,0.7
Image_2932,384,64,94,54,74,10,10,0.3
Image_2931,384,64,59,49,54,10,4,0.4
Image_2930,384,64,35,46,40,24,14,0.8
Image_2929,384,64,37,35,36,28,4,0.5
Image_2927,384,64,30,46,38,26,13,0.6
Image_2926,384,64,94,53,74,10,1,0.65
Image_2924,384,64,47,45,46,18,13,0.8
Image_2923,384,64,53,34,44,20,34,0.1
Image_2922,384,64,75,66,70,6,6,0.4
Image_2921,384,64,67,55,61,3,6,0.5
Image_2920,384,64,40,79,60,4,6,0.7
Image_2918,384,64,47,49,48,16,11,0.75
Image_2916,384,64,17,18,18,46,3,0.8
Image_2915,384,64,45,48,46,18,24,0.7
Image_2914,384,64,33,76,54,10,0,0.7
Image_2913,384,64,69,72,70,6,11,0.3
Image_2912,384,64,34,36,35,29,2,0.85
Image_2910,384,64,49,177,113,49,5,0.4
Image_2908,384,64,44,53,48,16,5,0.7
Image_2248,384,64,38,56,47,17,4,0.7
Image_2225,384,64,94,109,102,38,5,0.75
Image_2209,384,64,100,148,124,60,3,0.4
Image_2203,384,64,64,100,82,18,3,0.2
Image_2195,384,64,122,115,118,54,4,0.6
Image_2177,384,64,79,128,104,40,6,0.6
Image_2165,384,64,81,104,92,28,4,0.75
Image_2155,384,64,101,95,98,34,5,0.7
Image_2152,384,64,72,127,100,36,10,0.5
Image_2142,384,64,76,87,82,18,2,0.75
Image_2141,384,64,83,109,96,32,4,0.7
Image_2138,384,64,53,83,68,4,12,0.8
Image_2140,384,64,77,73,75,11,2,0.5
Image_2051,384,64,102,56,79,15,4,0.5
Image_2036,384,64,76,51,64,0,4,0.4
Image_2035,384,64,108,40,74,10,8,0.2
Image_2026,384,64,83,58,70,6,2,0.2
Image_2019,384,64,119,81,100,36,12,0.1
Image_2018,384,64,34,73,54,10,31,0.4
Image_2011,384,64,55,35,45,19,70,0.7
Image_2009,384,64,29,22,26,38,202,0.8
Image_2008,384,64,51,46,48,16,48,0.7
Image_2007,384,64,41,36,38,26,57,0.7
Image_2005,384,64,31,24,28,36,136,0.8
Image_2004,384,64,35,22,28,36,174,0.8
Image_1493,384,64,17,28,22,42,49,0.3
Image_1463,384,64,31,37,34,30,0,0.9
Image_1461,384,64,15,23,19,45,50,0.7
Image_1456,384,64,15,21,18,46,28,0.8
Image_1130,384,64,15,10,12,52,55,0.1
Image_1106,384,64,31,28,30,34,25,0.2
Image_998,384,64,34,42,38,26,5,0.2
Image_996,384,64,59,78,68,4,1,0.7
Image_993,384,64,59,75,67,3,1,0.5
Image_991,384,64,18,29,24,40,70,0.4
Image_990,384,64,19,27,23,41,58,0.2
Image_989,384,64,27,82,54,10,6,0.5
Image_988,384,64,57,114,86,22,10,0.5
Image_985,384,64,30,46,38,26,19,0.3
Image_907,384,64,48,125,86,22,25,0.1
Image_906,384,64,13,28,20,44,55,0.3
Image_701,384,64,40,73,56,8,10,0.5
Image_693,384,64,61,84,72,8,2,0.7
Image_680,384,64,53,145,99,35,3,0.3
Image_349,384,64,51,100,76,12,4,0.4
Image_342,384,64,49,64,56,8,1,0.3
Image_336,384,64,35,45,40,24,101,0.1
Image_330,384,64,84,111,98,34,13,0.7
Image_317,384,64,16,25,20,44,22,0.1
Image_313,384,64,83,125,104,40,30,0.7
Image_293,384,64,45,72,58,6,9,0.8
Image_291,384,64,54,99,76,12,8,0.4
Image_286,384,64,53,87,70,6,6,0.5
Image_2,384,64,50,82,66,2,6,0.1
