image_name,resized_size,patch_size,kernel_dim,Avg_ref_h,Avg_ref_z,mean_box_size,std_size,diff_patch_mbs,aspect_ratio,mae,mre,qual_score,f1_otm,f1_gmns,f1_hdbscan
Image_3697,384,32,3,149,108,128,8.06,96,1.38,1,0.1,0.81,0.952,0.952,0.0
Image_3696,384,32,3,146,126,136,6.6,104,1.16,3,0.55,0.79,0.769,0.769,0.0
Image_3694,384,32,3,57,86,72,4.52,40,1.51,10,0.41,0.38,0.813,0.813,0.571
Image_3693,384,32,3,44,54,49,2.17,17,1.23,0,0.0,0.29,1.0,1.0,0.286
Image_3651,384,32,3,89,114,102,8.77,70,1.28,7,1.56,0.75,0.533,0.533,0.308
Image_3650,384,32,3,47,81,64,9.85,32,1.72,5,0.53,0.64,0.783,0.655,0.885
Image_3645,384,32,3,45,49,47,8.12,15,1.09,3,0.05,0.53,0.923,0.914,0.065
Image_3644,384,32,3,63,61,62,17.41,30,1.03,2,0.17,0.53,0.917,0.917,0.7
Image_3501,384,32,3,30,41,36,6.66,4,1.37,3,0.05,0.4,0.976,0.914,0.154
Image_3500,384,32,3,51,70,60,4.19,28,1.37,0,0.0,0.4,1.0,0.929,0.696
Image_3494,384,32,3,85,53,69,4.23,37,1.6,16,0.74,0.42,0.724,0.724,0.279
Image_3342,384,32,3,72,112,92,3.12,60,1.56,0,0.0,0.48,1.0,1.0,0.957
Image_3341,384,32,3,52,57,54,2.28,22,1.1,4,0.12,0.22,0.941,0.941,0.957
Image_3339,384,32,3,67,94,80,5.02,48,1.4,17,2.0,0.2,0.485,0.485,0.75
Image_3329,384,32,3,15,10,12,2.06,20,1.5,123,0.41,0.72,0.738,0.337,0.062
Image_3310,384,32,3,40,50,45,1.94,13,1.25,3,0.11,0.25,0.949,0.949,0.681
Image_3309,384,32,3,49,80,64,4.99,32,1.63,7,0.74,0.22,0.72,0.72,0.667
Image_3284,384,32,3,80,92,86,18.34,54,1.15,2,0.14,0.4,0.933,0.901,0.789
Image_3283,384,32,3,31,32,32,9.74,0,1.03,4,0.1,0.41,0.935,0.794,0.708
Image_3282,384,32,3,57,63,60,10.84,28,1.11,4,0.15,0.33,0.88,0.861,0.592
Image_3281,384,32,3,90,57,74,14.73,42,1.58,10,1.82,0.28,0.471,0.5,0.75
Image_3279,384,32,3,44,59,52,7.88,20,1.34,1,0.04,0.38,0.884,0.829,0.712
Image_3278,384,32,3,55,41,48,4.52,16,1.34,33,0.52,0.61,0.645,0.645,0.174
Image_3275,384,32,3,80,72,76,5.56,44,1.11,7,0.36,0.49,0.774,0.774,0.4
Image_3271,384,32,3,96,102,99,12.29,67,1.06,23,0.52,0.64,0.646,0.646,0.174
Image_3270,384,32,3,68,80,74,7.03,42,1.18,3,0.18,0.37,0.914,0.887,0.48
Image_3268,384,32,3,68,77,72,11.06,40,1.13,5,0.34,0.46,0.848,0.848,0.643
Image_3160,384,32,3,89,93,91,7.13,59,1.04,8,1.45,0.56,0.556,0.556,0.375
Image_2956,384,32,3,81,46,64,12.53,32,1.76,6,0.31,0.55,0.72,0.822,0.837
Image_2955,384,32,3,39,31,35,3.12,3,1.26,24,0.29,0.36,0.866,0.871,0.056
Image_2954,384,32,3,47,78,62,0.88,30,1.66,7,0.15,0.48,0.784,0.831,0.417
Image_2952,384,32,3,28,59,44,3.1,12,2.11,22,0.48,0.28,0.796,0.804,0.537
Image_2951,384,32,3,39,68,54,1.05,22,1.74,7,0.93,0.22,0.667,0.632,0.833
Image_2949,384,32,3,87,37,62,2.86,30,2.35,1,0.04,0.44,0.837,0.958,0.737
Image_2948,384,32,3,80,78,79,3.24,47,1.03,7,1.56,0.37,0.533,0.533,0.842
Image_2947,384,32,3,51,60,56,1.97,24,1.18,9,0.2,0.38,0.875,0.889,0.56
Image_2946,384,32,3,72,63,68,12.06,36,1.14,4,0.47,0.4,0.8,0.8,0.8
Image_2945,384,32,3,75,52,64,1.33,32,1.44,0,0.0,0.48,1.0,1.0,0.923
Image_2944,384,32,3,37,59,48,7.86,16,1.59,25,0.57,0.31,0.768,0.775,0.538
Image_2943,384,32,3,58,60,59,1.65,27,1.03,10,0.51,0.36,0.792,0.792,0.926
Image_2942,384,32,3,48,48,48,1.03,16,1.0,11,0.76,0.19,0.718,0.699,0.98
Image_2941,384,32,3,86,82,84,10.9,52,1.05,8,0.84,0.57,0.664,0.692,0.522
Image_2939,384,32,3,24,32,28,4.29,4,1.33,17,0.48,0.36,0.805,0.775,0.53
Image_2938,384,32,3,79,68,74,15.61,42,1.16,1,0.12,0.64,0.734,0.941,0.714
Image_2937,384,32,3,44,44,44,12.12,12,1.0,13,0.2,0.37,0.869,0.896,0.207
Image_2936,384,32,3,84,54,69,12.91,37,1.56,12,1.04,0.41,0.647,0.647,0.978
Image_2935,384,32,3,83,41,62,2.41,30,2.02,6,0.8,0.38,0.661,0.7,0.723
Image_2933,384,32,3,53,36,44,10.11,12,1.47,38,0.46,0.55,0.703,0.703,0.23
Image_2932,384,32,3,94,54,74,11.58,42,1.74,12,0.89,0.34,0.665,0.684,0.837
Image_2931,384,32,3,59,49,54,26.1,22,1.2,19,0.3,0.53,0.796,0.796,0.546
Image_2930,384,32,3,35,46,40,4.48,8,1.31,5,0.09,0.47,0.922,0.957,0.494
Image_2929,384,32,3,37,35,36,2.45,4,1.06,26,0.5,0.38,0.797,0.797,0.099
Image_2927,384,32,3,30,46,38,4.29,6,1.53,1,0.02,0.42,0.734,0.837,0.571
Image_2926,384,32,3,94,53,74,6.51,42,1.77,8,0.48,0.35,0.8,0.8,0.979
Image_2924,384,32,3,47,45,46,2.54,14,1.04,15,0.38,0.25,0.839,0.839,0.633
Image_2923,384,32,3,53,34,44,8.82,12,1.56,49,1.31,0.32,0.602,0.602,0.362
Image_2922,384,32,3,75,66,70,14.52,38,1.14,3,0.18,0.35,0.914,0.914,0.848
Image_2921,384,32,3,67,55,61,12.4,29,1.22,9,0.49,0.32,0.8,0.8,0.851
Image_2920,384,32,3,40,79,60,10.44,28,1.98,2,0.13,0.64,0.889,0.696,0.554
Image_2918,384,32,3,47,49,48,1.7,16,1.04,19,0.43,0.55,0.725,0.725,0.554
Image_2916,384,32,3,17,18,18,2.78,14,1.06,55,0.37,0.51,0.838,0.82,0.037
Image_2915,384,32,3,45,48,46,3.97,14,1.07,20,0.48,0.35,0.796,0.804,0.329
Image_2914,384,32,3,33,76,54,3.09,22,2.3,12,0.73,0.15,0.71,0.71,0.809
Image_2913,384,32,3,69,72,70,7.9,38,1.04,12,3.43,0.52,0.333,0.333,0.421
Image_2912,384,32,3,34,36,35,1.03,3,1.06,10,0.16,0.37,0.925,0.925,0.531
Image_2910,384,32,3,49,177,113,1.35,81,3.61,5,0.53,0.61,0.783,0.746,0.783
Image_2908,384,32,3,44,53,48,4.41,16,1.2,1,0.03,0.35,0.846,0.985,0.881
Image_2248,384,32,3,38,56,47,2.96,15,1.47,8,0.13,0.38,0.92,0.92,0.441
Image_2225,384,32,3,94,109,102,13.89,70,1.16,5,0.34,0.49,0.848,0.848,0.643
Image_2209,384,32,3,100,148,124,8.56,92,1.48,4,0.53,0.6,0.778,0.778,0.429
Image_2203,384,32,3,64,100,82,8.41,50,1.56,11,0.96,0.37,0.667,0.645,0.514
Image_2195,384,32,3,122,115,118,8.88,86,1.06,2,0.17,0.7,0.917,0.917,0.471
Image_2177,384,32,3,79,128,104,7.82,72,1.62,6,0.28,0.42,0.856,0.856,0.683
Image_2165,384,32,3,81,104,92,3.98,60,1.28,5,0.17,0.48,0.863,0.863,0.154
Image_2155,384,32,3,101,95,98,3.77,66,1.06,0,0.0,0.63,0.941,0.875,0.286
Image_2152,384,32,3,72,127,100,26.52,68,1.76,8,0.55,0.42,0.778,0.778,0.411
Image_2142,384,32,3,76,87,82,15.41,50,1.14,3,0.09,0.48,0.941,0.91,0.205
Image_2141,384,32,3,83,109,96,7.47,64,1.31,6,1.09,0.38,0.625,0.625,0.533
Image_2138,384,32,3,53,83,68,7.41,36,1.57,13,0.79,0.34,0.711,0.711,0.619
Image_2140,384,32,3,77,73,75,17.72,43,1.05,0,0.0,0.49,1.0,1.0,0.5
Image_2051,384,32,3,102,56,79,9.09,47,1.82,1,0.06,0.71,0.968,0.933,0.235
Image_2036,384,32,3,76,51,64,4.55,32,1.49,1,0.04,0.79,0.806,0.879,0.86
Image_2035,384,32,3,108,40,74,5.26,42,2.7,3,0.1,0.81,0.708,0.76,0.694
Image_2026,384,32,3,83,58,70,4.52,38,1.43,4,0.2,0.88,0.889,0.889,0.829
Image_2019,384,32,3,119,81,100,5.13,68,1.47,9,0.38,0.85,0.757,0.757,0.667
Image_2018,384,32,3,34,73,54,4.33,22,2.15,19,0.22,0.71,0.766,0.84,0.184
Image_2011,384,32,3,55,35,45,2.34,13,1.57,43,0.35,0.65,0.78,0.78,0.049
Image_2009,384,32,3,29,22,26,0.94,6,1.32,271,0.58,0.76,0.594,0.594,0.02
Image_2008,384,32,3,51,46,48,2.13,16,1.11,39,0.48,0.72,0.683,0.683,0.091
Image_2007,384,32,3,41,36,38,13.34,6,1.14,2,0.02,0.6,0.726,0.593,0.198
Image_2005,384,32,3,31,24,28,0.47,4,1.29,179,0.56,0.77,0.607,0.61,0.028
Image_2004,384,32,3,35,22,28,1.89,4,1.59,259,0.53,0.72,0.636,0.636,0.018
Image_1493,384,32,3,17,28,22,1.32,10,1.65,41,1.55,0.29,0.546,0.524,0.109
Image_1463,384,32,3,31,37,34,6.78,2,1.19,9,0.17,0.34,0.911,0.893,0.179
Image_1461,384,32,3,15,23,19,1.67,13,1.53,51,1.05,0.39,0.649,0.639,0.039
Image_1456,384,32,3,15,21,18,2.32,14,1.4,16,0.09,0.55,0.802,0.82,0.085
Image_1130,384,32,3,15,10,12,1.7,20,1.5,22,0.56,0.9,0.28,0.28,0.0
Image_1106,384,32,3,31,28,30,5.92,2,1.11,11,0.29,0.52,0.68,0.546,0.224
Image_998,384,32,3,34,42,38,2.51,6,1.24,9,0.58,0.48,0.702,0.702,0.588
Image_996,384,32,3,59,78,68,8.63,36,1.32,7,0.61,0.48,0.759,0.759,0.912
Image_993,384,32,3,59,75,67,11.75,35,1.27,7,0.67,0.25,0.741,0.741,0.97
Image_991,384,32,3,18,29,24,1.05,8,1.61,8,0.08,0.63,0.783,0.783,0.041
Image_990,384,32,3,19,27,23,0.94,9,1.42,28,0.2,0.68,0.719,0.753,0.035
Image_989,384,32,3,27,82,54,8.61,22,3.04,6,0.09,0.47,0.831,0.84,0.157
Image_988,384,32,3,57,114,86,2.34,54,2.0,0,0.0,0.43,0.957,0.957,0.857
Image_985,384,32,3,30,46,38,6.6,6,1.53,16,0.43,0.57,0.75,0.762,0.172
Image_907,384,32,3,48,125,86,11.0,54,2.6,6,0.17,0.59,0.727,0.75,0.129
Image_906,384,32,3,13,28,20,3.02,12,2.15,171,2.65,0.48,0.406,0.406,0.0
Image_701,384,32,3,40,73,56,2.83,24,1.82,2,0.03,0.4,0.911,0.902,0.257
Image_693,384,32,3,61,84,72,2.03,40,1.38,5,0.22,0.51,0.872,0.872,0.583
Image_680,384,32,3,53,145,99,4.26,67,2.74,2,0.19,0.53,0.816,0.909,0.957
Image_349,384,32,3,51,100,76,2.28,44,1.96,13,0.49,0.43,0.787,0.8,0.34
Image_342,384,32,3,49,64,56,21.39,24,1.31,18,0.4,0.47,0.826,0.833,0.174
Image_336,384,32,3,35,45,40,4.14,8,1.29,183,0.92,0.95,0.149,0.149,0.0
Image_330,384,32,3,84,111,98,8.1,66,1.32,14,0.35,0.6,0.781,0.781,0.214
Image_317,384,32,3,16,25,20,3.57,12,1.56,4,0.38,0.54,0.513,0.423,0.429
Image_313,384,32,3,83,125,104,10.78,72,1.51,8,0.25,0.55,0.852,0.83,0.231
Image_293,384,32,3,45,72,58,6.54,26,1.6,3,0.07,0.41,0.914,0.94,0.327
Image_291,384,32,3,54,99,76,11.11,44,1.83,7,0.93,0.48,0.632,0.667,0.886
Image_286,384,32,3,53,87,70,13.14,38,1.64,1,0.09,0.48,0.952,0.842,0.237
Image_2,384,32,3,50,82,66,1.94,34,1.64,1,0.13,0.46,0.933,0.933,0.769
Image_7645,384,48,3,43,145,94,5.91,46,3.37,17,0.54,0.78,0.558,0.524,0.261
Image_7095,384,48,3,35,116,76,3.4,28,3.31,26,0.34,0.57,0.723,0.733,0.074
Image_7661,384,48,3,30,41,36,3.7,12,1.37,16,0.3,0.51,0.818,0.791,0.164
Image_7662,384,48,3,47,35,41,3.97,7,1.34,6,0.16,0.48,0.909,0.909,0.125
Image_6661,384,48,3,11,12,12,0.71,36,1.09,62,0.2,0.68,0.89,0.827,0.025
Image_6660,384,48,3,279,30,154,2.16,106,9.3,15,0.59,0.85,0.276,0.333,0.216
Image_6659,384,48,3,40,323,182,2.49,134,8.07,6,0.39,0.77,0.421,0.571,0.133
Image_6658,384,48,3,15,9,12,1.7,36,1.67,29,0.07,0.69,0.408,0.312,0.0
Image_6657,384,48,3,25,25,25,7.83,23,1.0,39,0.46,0.44,0.787,0.769,0.126
Image_6656,384,48,3,29,30,30,2.13,18,1.03,12,0.14,0.36,0.936,0.936,0.165
Image_6655,384,48,3,9,73,41,1.47,7,8.11,174,2.62,0.4,0.313,0.288,0.032
Image_6653,384,48,3,17,21,19,1.48,29,1.24,38,0.11,0.53,0.929,0.927,0.019
Image_6652,384,48,3,41,79,60,1.73,12,1.93,8,0.31,0.31,0.862,0.862,0.8
Image_6651,384,48,3,40,151,96,5.4,48,3.77,6,0.44,0.75,0.551,0.345,0.319
Image_6650,384,48,3,75,90,82,4.31,34,1.2,14,2.15,0.28,0.462,0.462,0.71
Image_6649,384,48,3,17,46,32,18.54,16,2.71,12,0.12,0.45,0.801,0.614,0.036
Image_6648,384,48,3,20,19,20,1.09,28,1.05,7,0.13,0.65,0.878,0.878,0.077
Image_6645,384,48,3,34,32,33,2.78,15,1.06,3,0.09,0.34,0.957,0.928,0.244
Image_6644,384,48,3,6,12,9,0.71,39,2.0,71,0.12,0.8,0.647,0.588,0.044
Image_5944,384,48,3,40,57,48,2.85,0,1.43,0,0.0,0.43,0.929,0.8,0.25
Image_5940,384,48,3,78,79,78,13.21,30,1.01,4,0.17,0.42,0.901,0.816,0.138
Image_5939,384,48,3,83,133,108,18.67,60,1.6,0,0.0,0.56,1.0,0.933,0.857
Image_5938,384,48,3,57,88,72,6.97,24,1.54,3,0.11,0.45,0.949,0.933,0.176
Image_5936,384,48,3,54,69,62,2.19,14,1.28,3,0.19,0.28,0.909,0.881,0.714
Image_5934,384,48,3,61,84,72,7.26,24,1.38,7,0.29,0.47,0.829,0.829,0.339
Image_5933,384,48,3,79,44,62,6.98,14,1.8,7,0.36,0.56,0.774,0.774,0.384
Image_5932,384,48,3,99,64,82,4.21,34,1.55,2,0.09,0.34,0.952,0.952,0.824
Image_5931,384,48,3,86,137,112,8.67,64,1.59,2,0.27,0.61,0.875,0.875,0.882
Image_5930,384,48,3,65,71,68,2.72,20,1.09,15,0.51,0.63,0.651,0.651,0.222
Image_5929,384,48,3,32,57,44,3.11,4,1.78,7,0.1,0.33,0.952,0.918,0.146
Image_5926,384,48,3,42,73,58,1.05,10,1.74,1,0.11,0.43,0.894,0.894,0.615
Image_5925,384,48,3,138,98,118,19.77,70,1.41,6,0.36,0.39,0.819,0.842,0.167
Image_5924,384,48,3,101,103,102,6.4,54,1.02,3,0.22,0.4,0.864,0.897,0.72
Image_5923,384,48,3,81,68,74,3.3,26,1.19,9,0.4,0.57,0.743,0.743,0.733
Image_5922,384,48,3,26,36,31,0.94,17,1.38,11,0.24,0.59,0.835,0.821,0.167
Image_5921,384,48,3,51,76,64,1.82,16,1.49,0,0.0,0.39,0.966,0.966,0.125
Image_5918,384,48,3,72,53,62,3.25,14,1.36,1,0.09,0.46,0.913,0.811,0.462
Image_5917,384,48,3,53,74,64,1.57,16,1.4,3,0.19,0.59,0.846,0.889,0.492
Image_5915,384,48,3,49,56,52,2.87,4,1.14,6,0.32,0.5,0.8,0.8,0.286
Image_5602,384,48,3,54,74,64,1.57,16,1.37,27,0.56,0.67,0.609,0.609,0.25
Image_5601,384,48,3,54,74,64,1.67,16,1.37,13,0.37,0.61,0.772,0.772,0.354
Image_5600,384,48,3,21,24,22,1.05,26,1.14,5,0.03,0.46,0.963,0.934,0.026
Image_5598,384,48,3,58,79,68,1.71,20,1.36,8,0.25,0.48,0.852,0.852,0.282
Image_5596,384,48,3,35,49,42,4.73,6,1.4,8,0.25,0.39,0.889,0.889,0.298
Image_5595,384,48,3,69,92,80,4.59,32,1.33,1,0.07,0.48,0.966,0.966,0.571
Image_5594,384,48,3,60,77,68,2.89,20,1.28,11,0.42,0.66,0.732,0.732,0.393
Image_5593,384,48,3,49,65,57,3.83,9,1.33,24,0.51,0.67,0.657,0.657,0.397
Image_5592,384,48,3,37,21,29,1.18,19,1.76,3,0.03,0.41,0.973,0.897,0.081
Image_5591,384,48,3,65,47,56,2.98,8,1.38,14,0.3,0.5,0.821,0.821,0.171
Image_5590,384,48,3,74,102,88,7.77,40,1.38,4,0.19,0.44,0.833,0.765,0.756
Image_5588,384,48,3,36,42,39,2.51,9,1.17,8,0.14,0.45,0.925,0.925,0.151
Image_5587,384,48,3,57,72,64,2.1,16,1.26,28,0.63,0.74,0.533,0.533,0.579
Image_5585,384,48,3,44,59,52,3.3,4,1.34,22,0.4,0.56,0.744,0.744,0.111
Image_5584,384,48,3,37,27,32,3.11,16,1.37,7,0.12,0.44,0.936,0.895,0.179
Image_5583,384,48,3,52,68,60,2.11,12,1.31,2,0.14,0.39,0.923,0.923,0.957
Image_5582,384,48,3,37,38,38,2.05,10,1.03,11,0.3,0.35,0.867,0.867,0.157
Image_5581,384,48,3,72,101,86,4.3,38,1.4,2,0.31,0.56,0.857,0.857,0.667
Image_5580,384,48,3,42,48,45,1.94,3,1.14,16,0.27,0.56,0.84,0.84,0.091
Image_5576,384,48,3,44,48,46,4.38,2,1.09,7,0.09,0.53,0.935,0.935,0.084
Image_5575,384,48,3,69,73,71,3.01,23,1.06,3,0.32,0.47,0.857,0.857,0.909
Image_5574,384,48,3,20,21,20,1.09,28,1.05,8,0.08,0.45,0.952,0.86,0.154
Image_5573,384,48,3,42,43,42,2.25,6,1.02,0,0.0,0.29,1.0,1.0,0.207
Image_5572,384,48,3,60,96,78,7.49,30,1.6,6,1.71,0.41,0.333,0.5,0.364
Image_5571,384,48,3,51,65,58,1.59,10,1.27,13,0.39,0.61,0.755,0.731,0.75
Image_5568,384,48,3,38,49,44,9.86,4,1.29,1,0.03,0.43,0.931,0.784,0.154
Image_5567,384,48,3,45,41,43,6.13,5,1.1,3,0.06,0.37,0.95,0.939,0.075
Image_5566,384,48,3,60,74,67,9.57,19,1.23,6,0.15,0.36,0.886,0.886,0.263
Image_5563,384,48,3,17,12,14,2.03,34,1.42,53,0.22,0.69,0.869,0.867,0.086
Image_5390,384,48,3,84,53,68,10.3,20,1.58,0,0.0,0.43,0.88,0.88,0.25
Image_5386,384,48,3,51,77,64,1.97,16,1.51,2,0.12,0.39,0.933,0.933,0.414
Image_5382,384,48,3,48,65,56,2.34,8,1.35,2,0.17,0.56,0.842,0.706,0.577
Image_5380,384,48,3,94,76,85,6.04,37,1.24,1,0.1,0.48,0.947,0.947,1.0
Image_5378,384,48,3,76,73,74,2.42,26,1.04,5,0.3,0.58,0.815,0.815,0.267
Image_5376,384,48,3,100,77,88,6.25,40,1.3,1,0.07,0.62,0.923,0.963,0.87
Image_5375,384,48,3,100,79,90,7.9,42,1.27,0,0.0,0.4,0.971,0.971,0.8
Image_5372,384,48,3,57,47,52,5.72,4,1.21,2,0.06,0.41,0.935,0.969,0.652
Image_5371,384,48,3,53,52,52,3.28,4,1.02,0,0.0,0.35,1.0,0.952,0.204
Image_5369,384,48,3,42,50,46,5.72,2,1.19,0,0.0,0.42,0.98,0.917,0.207
Image_5368,384,48,3,26,24,25,1.72,23,1.08,10,0.07,0.47,0.946,0.939,0.013
Image_5367,384,48,3,19,31,25,0.47,23,1.63,9,0.06,0.45,0.954,0.94,0.026
Image_5366,384,48,3,26,37,32,1.56,16,1.42,2,0.04,0.36,0.973,0.946,0.348
Image_5364,384,48,3,49,56,52,2.57,4,1.14,4,0.15,0.41,0.898,0.92,0.722
Image_5363,384,48,3,31,40,36,3.71,12,1.29,3,0.09,0.37,0.955,0.941,0.108
Image_5361,384,48,3,29,43,36,4.15,12,1.48,6,0.28,0.35,0.875,0.875,0.138
Image_5360,384,48,3,29,40,34,2.55,14,1.38,4,0.06,0.36,0.97,0.913,0.169
Image_5359,384,48,3,17,24,20,0.64,28,1.41,5,0.13,0.49,0.93,0.866,0.491
Image_5358,384,48,3,55,73,64,3.13,16,1.33,18,0.41,0.54,0.735,0.735,0.148
Image_5149,384,48,3,25,32,28,2.16,20,1.28,8,0.08,0.52,0.94,0.895,0.035
Image_5143,384,48,3,23,45,34,8.85,14,1.96,16,0.2,0.57,0.879,0.871,0.089
Image_5142,384,48,3,22,29,26,3.27,22,1.32,41,0.17,0.55,0.841,0.872,0.03
Image_4970,384,48,3,35,46,40,1.87,8,1.31,2,0.05,0.49,0.916,0.876,0.301
Image_4969,384,48,3,38,28,33,5.18,15,1.36,14,0.11,0.44,0.897,0.892,0.0
Image_4967,384,48,3,65,99,82,3.4,34,1.52,2,0.11,0.52,0.789,0.858,0.417
Image_4966,384,48,3,60,83,72,6.22,24,1.38,3,0.07,0.42,0.896,0.896,0.083
Image_4965,384,48,3,75,120,98,17.03,50,1.6,6,0.63,0.61,0.716,0.75,0.636
Image_4964,384,48,3,41,55,48,8.38,0,1.34,2,0.04,0.33,0.95,0.918,0.206
Image_4963,384,48,3,19,31,25,2.49,23,1.63,57,0.21,0.5,0.871,0.882,0.018
Image_4962,384,48,3,37,41,39,5.26,9,1.11,4,0.12,0.38,0.938,0.786,0.444
Image_4961,384,48,3,10,17,14,1.97,34,1.7,126,0.26,0.7,0.827,0.799,0.045
Image_4960,384,48,3,59,84,72,19.51,24,1.42,3,0.09,0.49,0.857,0.915,0.766
Image_4959,384,48,3,38,62,50,1.65,2,1.63,6,0.16,0.49,0.806,0.702,0.268
Image_4958,384,48,3,44,60,52,11.44,4,1.36,3,0.02,0.38,0.952,0.874,0.05
Image_4957,384,48,3,26,35,30,9.81,18,1.35,14,0.13,0.46,0.862,0.874,0.041
Image_4956,384,48,3,27,45,36,7.56,12,1.67,0,0.0,0.46,0.86,0.86,0.125
Image_4955,384,48,3,35,46,40,9.02,8,1.31,3,0.02,0.34,0.887,0.81,0.041
Image_4954,384,48,3,43,66,54,9.37,6,1.53,6,0.26,0.5,0.849,0.849,0.598
Image_4953,384,48,3,30,52,41,7.53,7,1.73,6,0.1,0.42,0.935,0.914,0.179
Image_4952,384,48,3,19,23,21,3.12,27,1.21,14,0.05,0.5,0.899,0.887,0.016
Image_4951,384,48,3,22,19,20,3.11,28,1.16,18,0.1,0.62,0.908,0.843,0.052
Image_4950,384,48,3,41,54,48,11.93,0,1.32,10,0.23,0.5,0.868,0.868,0.453
Image_4949,384,48,3,24,35,30,3.76,18,1.46,7,0.07,0.49,0.921,0.873,0.06
Image_4948,384,48,3,81,140,110,17.37,62,1.73,11,1.47,0.6,0.463,0.535,0.824
Image_4947,384,48,3,20,35,28,3.65,20,1.75,58,0.22,0.49,0.864,0.869,0.019
Image_4946,384,48,3,40,56,48,12.03,0,1.4,3,0.04,0.4,0.879,0.879,0.196
Image_4945,384,48,3,33,44,38,1.26,10,1.33,3,0.07,0.47,0.886,0.706,0.24
Image_4944,384,48,3,24,32,28,4.51,20,1.33,17,0.26,0.57,0.842,0.766,0.124
Image_4943,384,48,3,42,64,53,2.46,5,1.52,5,0.07,0.44,0.889,0.852,0.06
