image_name,resized_size,patch_size,kernel_dim,Avg_ref_h,Avg_ref_z,mean_box_size,std_size,diff_patch_mbs,aspect_ratio,mae,mre,qual_score,f1_otm,f1_gmns,f1_hdbscan
Image_4942,384,48,3,49,78,64,2.21,16,1.59,12,0.27,0.36,0.871,0.862,0.328
Image_4941,384,48,3,31,42,36,3.71,12,1.35,5,0.03,0.32,0.928,0.852,0.023
Image_4940,384,48,3,53,98,76,5.22,28,1.85,2,0.07,0.38,0.897,0.858,0.591
Image_4939,384,48,3,70,95,82,16.33,34,1.36,2,0.11,0.48,0.947,0.922,0.621
Image_4938,384,48,3,26,51,38,9.32,10,1.96,11,0.16,0.52,0.878,0.745,0.108
Image_4933,384,48,3,77,59,68,8.67,20,1.31,1,0.02,0.43,0.942,0.932,0.071
Image_4924,384,48,3,36,59,48,4.56,0,1.64,2,0.03,0.47,0.831,0.887,0.233
Image_4923,384,48,3,39,59,49,4.47,1,1.51,1,0.03,0.46,0.896,0.914,0.852
Image_4908,384,48,3,42,74,58,7.45,10,1.76,10,0.69,0.34,0.694,0.737,0.884
Image_4904,384,48,3,60,86,73,9.72,25,1.43,4,0.53,0.3,0.778,0.73,0.842
Image_4903,384,48,3,56,73,64,3.09,16,1.3,8,0.3,0.48,0.818,0.818,0.2
Image_4885,384,48,3,51,41,46,6.71,2,1.24,2,0.15,0.75,0.143,0.375,0.556
Image_4875,384,48,3,57,74,66,4.85,18,1.3,15,0.27,0.56,0.842,0.842,0.095
Image_4874,384,48,3,43,66,54,5.17,6,1.53,15,0.18,0.45,0.863,0.863,0.057
Image_4502,384,48,3,23,312,168,3.28,120,13.57,17,0.44,0.67,0.233,0.146,0.0
Image_4501,384,48,3,20,321,170,5.21,122,16.05,8,0.3,0.74,0.267,0.267,0.267
Image_4500,384,48,3,44,351,198,8.12,150,7.98,2,0.19,0.71,0.462,0.462,0.286
Image_4497,384,48,3,24,301,162,11.72,114,12.54,15,0.51,0.82,0.067,0.129,0.222
Image_4496,384,48,3,27,337,182,10.04,134,12.48,144,0.91,0.93,0.12,0.131,0.235
Image_4494,384,48,3,14,285,150,11.98,102,20.36,28,0.51,0.69,0.286,0.258,0.074
Image_4493,384,48,3,19,308,164,2.21,116,16.21,2,0.12,0.76,0.219,0.219,0.111
Image_4409,384,48,3,48,80,64,13.0,16,1.67,9,0.49,0.79,0.667,0.667,0.875
Image_4407,384,48,3,20,39,30,18.12,18,1.95,14,0.25,0.36,0.816,0.808,0.677
Image_4406,384,48,3,13,27,20,11.5,28,2.08,1,0.09,0.47,0.913,0.811,0.957
Image_4296,384,48,3,59,67,63,3.89,15,1.14,1,0.03,0.37,0.917,0.917,0.476
Image_4286,384,48,3,17,27,22,4.13,26,1.59,60,0.15,0.49,0.879,0.89,0.012
Image_4175,384,48,3,78,126,102,4.58,54,1.62,8,0.59,0.7,0.765,0.765,0.704
Image_4170,384,48,3,29,119,74,5.58,26,4.1,16,0.32,0.6,0.718,0.611,0.105
Image_4123,384,48,3,69,61,65,10.97,17,1.13,3,0.29,0.41,0.87,0.87,0.661
Image_4122,384,48,3,68,111,90,16.9,42,1.63,4,0.24,0.57,0.857,0.857,0.4
Image_4121,384,48,3,69,108,88,7.0,40,1.57,2,0.16,0.65,0.909,0.909,0.571
Image_4120,384,48,3,43,56,50,3.53,2,1.3,2,0.04,0.44,0.933,0.945,0.083
Image_4119,384,48,3,78,112,95,2.49,47,1.44,5,0.67,0.43,0.737,0.737,0.909
Image_4116,384,48,3,59,80,70,4.25,22,1.36,3,0.16,0.49,0.909,0.875,0.211
Image_4115,384,48,3,39,72,56,4.39,8,1.85,4,0.89,0.64,0.6,0.6,0.48
Image_4113,384,48,3,40,57,48,4.57,0,1.43,18,0.32,0.64,0.791,0.791,0.13
Image_4111,384,48,3,35,42,38,2.94,10,1.2,5,0.17,0.56,0.863,0.863,0.452
Image_4110,384,48,3,132,52,92,17.65,44,2.54,0,0.0,0.49,0.857,0.737,0.667
Image_4089,384,48,3,31,60,46,1.33,2,1.94,13,0.18,0.43,0.901,0.901,0.066
Image_4088,384,48,3,46,59,52,4.74,4,1.28,6,0.17,0.47,0.903,0.885,0.185
Image_4087,384,48,3,40,31,36,0.71,12,1.29,1,0.01,0.42,0.965,0.97,0.033
Image_4086,384,48,3,53,75,64,2.4,16,1.42,2,0.14,0.42,0.923,0.923,0.857
Image_4085,384,48,3,26,36,31,1.44,17,1.38,6,0.06,0.44,0.954,0.942,0.023
Image_4084,384,48,3,44,57,50,6.06,2,1.3,6,0.32,0.57,0.8,0.8,0.154
Image_4083,384,48,3,54,54,54,1.32,6,1.0,36,0.62,0.29,0.763,0.763,0.062
Image_4082,384,48,3,28,22,25,1.78,23,1.27,8,0.08,0.43,0.847,0.897,0.018
Image_4079,384,48,3,44,61,52,3.18,4,1.39,3,0.11,0.35,0.941,0.941,0.545
Image_4078,384,48,3,32,52,42,3.92,6,1.62,9,0.18,0.38,0.907,0.88,0.129
Image_4077,384,48,3,17,34,26,4.73,22,2.0,16,0.08,0.36,0.949,0.889,0.026
Image_4074,384,48,3,48,62,55,2.63,7,1.29,13,0.36,0.56,0.78,0.78,0.357
Image_4073,384,48,3,65,60,62,5.03,14,1.08,8,0.24,0.39,0.862,0.862,0.333
Image_4072,384,48,3,65,86,76,4.11,28,1.32,1,0.08,0.44,0.957,0.957,0.625
Image_4069,384,48,3,35,26,30,2.89,18,1.35,0,0.0,0.39,0.956,0.932,0.033
Image_4068,384,48,3,71,99,85,4.99,37,1.39,2,0.16,0.54,0.909,0.909,0.333
Image_4067,384,48,3,38,52,45,2.07,3,1.37,0,0.0,0.42,0.988,0.95,0.091
Image_4066,384,48,3,72,98,85,4.13,37,1.36,1,0.12,0.45,0.814,0.882,0.882
Image_4065,384,48,3,51,40,46,4.7,2,1.27,7,0.16,0.49,0.914,0.9,0.15
Image_4063,384,48,3,57,57,57,3.93,9,1.0,2,0.15,0.44,0.917,0.917,0.533
Image_4062,384,48,3,15,25,20,4.78,28,1.67,81,0.23,0.53,0.846,0.864,0.033
Image_3697,384,48,3,149,108,128,8.06,80,1.38,6,0.34,0.75,0.786,0.786,0.308
Image_3696,384,48,3,146,126,136,6.6,88,1.16,7,0.45,0.82,0.696,0.696,0.4
Image_3694,384,48,3,57,86,72,4.52,24,1.51,1,0.03,0.48,0.889,0.889,0.162
Image_3693,384,48,3,44,54,49,2.17,1,1.23,5,0.16,0.27,0.925,0.925,0.154
Image_3651,384,48,3,89,114,102,8.77,54,1.28,1,0.1,0.67,0.905,0.905,0.308
Image_3650,384,48,3,47,81,64,9.85,16,1.72,3,0.26,0.61,0.802,0.755,0.845
Image_3645,384,48,3,45,49,47,8.12,1,1.09,12,0.25,0.47,0.881,0.881,0.065
Image_3644,384,48,3,63,61,62,17.41,14,1.03,1,0.08,0.53,0.92,0.96,0.818
Image_3501,384,48,3,30,41,36,6.66,12,1.37,3,0.05,0.37,0.957,0.931,0.154
Image_3500,384,48,3,51,70,60,4.19,12,1.37,3,0.16,0.44,0.909,0.909,0.571
Image_3494,384,48,3,85,53,69,4.23,21,1.6,6,0.14,0.53,0.897,0.897,0.15
Image_3342,384,48,3,72,112,92,3.12,44,1.56,3,0.32,0.4,0.857,0.857,1.0
Image_3341,384,48,3,52,57,54,2.28,6,1.1,10,0.38,0.18,0.839,0.839,0.941
Image_3339,384,48,3,67,94,80,5.02,32,1.4,14,1.22,0.22,0.611,0.611,0.864
Image_3329,384,48,3,15,10,12,2.06,36,1.5,61,0.25,0.71,0.831,0.196,0.049
Image_3310,384,48,3,40,50,45,1.94,3,1.25,6,0.24,0.21,0.893,0.893,0.357
Image_3309,384,48,3,49,80,64,4.99,16,1.63,3,0.22,0.3,0.897,0.897,0.4
Image_3284,384,48,3,80,92,86,18.34,38,1.15,1,0.06,0.36,0.935,0.863,0.545
Image_3283,384,48,3,31,32,32,9.74,16,1.03,0,0.0,0.37,0.958,0.806,0.689
Image_3282,384,48,3,57,63,60,10.84,12,1.11,1,0.03,0.35,0.876,0.715,0.423
Image_3281,384,48,3,90,57,74,14.73,26,1.58,4,0.35,0.38,0.846,0.846,0.571
Image_3279,384,48,3,44,59,52,7.88,4,1.34,3,0.15,0.34,0.908,0.805,0.586
Image_3278,384,48,3,55,41,48,4.52,0,1.34,7,0.19,0.49,0.879,0.896,0.174
Image_3275,384,48,3,80,72,76,5.56,28,1.11,6,0.32,0.48,0.8,0.8,0.408
Image_3271,384,48,3,96,102,99,12.29,51,1.06,15,0.41,0.59,0.737,0.737,0.174
Image_3270,384,48,3,68,80,74,7.03,26,1.18,1,0.05,0.33,0.973,0.946,0.19
Image_3268,384,48,3,68,77,72,11.06,24,1.13,1,0.05,0.48,0.919,0.974,0.538
Image_3160,384,48,3,89,93,91,7.13,43,1.04,2,0.13,0.55,0.929,0.929,0.267
Image_2956,384,48,3,81,46,64,12.53,16,1.76,5,0.16,0.57,0.8,0.889,0.936
Image_2955,384,48,3,39,31,35,3.12,13,1.26,5,0.05,0.43,0.956,0.931,0.037
Image_2954,384,48,3,47,78,62,0.88,14,1.66,3,0.08,0.43,0.767,0.856,0.566
Image_2952,384,48,3,28,59,44,3.1,4,2.11,5,0.07,0.43,0.933,0.933,0.189
Image_2951,384,48,3,39,68,54,1.05,6,1.74,3,0.17,0.43,0.903,0.867,0.667
Image_2949,384,48,3,87,37,62,2.86,14,2.35,23,0.48,0.6,0.676,0.676,0.588
Image_2948,384,48,3,80,78,79,3.24,31,1.03,0,0.0,0.49,0.9,1.0,0.9
Image_2947,384,48,3,51,60,56,1.97,8,1.18,1,0.03,0.33,0.942,0.942,0.642
Image_2946,384,48,3,72,63,68,12.06,20,1.14,1,0.07,0.51,0.96,0.96,0.757
Image_2945,384,48,3,75,52,64,1.33,16,1.44,5,0.26,0.53,0.848,0.848,0.963
Image_2944,384,48,3,37,59,48,7.86,0,1.59,3,0.05,0.39,0.939,0.931,0.381
Image_2943,384,48,3,58,60,59,1.65,11,1.03,4,0.12,0.45,0.9,0.935,0.816
Image_2942,384,48,3,48,48,48,1.03,0,1.0,5,0.24,0.3,0.869,0.869,0.554
Image_2941,384,48,3,86,82,84,10.9,36,1.05,3,0.15,0.62,0.857,0.919,0.692
Image_2939,384,48,3,24,32,28,4.29,20,1.33,14,0.36,0.39,0.794,0.804,0.331
Image_2938,384,48,3,79,68,74,15.61,26,1.16,1,0.1,0.65,0.947,0.824,0.875
Image_2937,384,48,3,44,44,44,12.12,4,1.0,33,0.73,0.31,0.732,0.732,0.227
Image_2936,384,48,3,84,54,69,12.91,21,1.56,8,0.25,0.53,0.784,0.852,0.789
Image_2935,384,48,3,83,41,62,2.41,14,2.02,0,0.0,0.47,0.96,0.917,0.917
Image_2933,384,48,3,53,36,44,10.11,4,1.47,7,0.13,0.47,0.905,0.928,0.657
Image_2932,384,48,3,94,54,74,11.58,26,1.74,7,0.22,0.51,0.857,0.877,0.571
Image_2931,384,48,3,59,49,54,26.1,6,1.2,5,0.1,0.45,0.815,0.897,0.418
Image_2930,384,48,3,35,46,40,4.48,8,1.31,9,0.13,0.51,0.922,0.905,0.125
Image_2929,384,48,3,37,35,36,2.45,12,1.06,7,0.1,0.49,0.932,0.952,0.075
Image_2927,384,48,3,30,46,38,4.29,10,1.53,0,0.0,0.41,0.775,0.911,0.429
Image_2926,384,48,3,94,53,74,6.51,26,1.77,10,0.29,0.52,0.828,0.828,0.884
Image_2924,384,48,3,47,45,46,2.54,2,1.04,3,0.06,0.32,0.962,0.953,0.286
Image_2923,384,48,3,53,34,44,8.82,4,1.56,29,0.5,0.38,0.797,0.786,0.108
Image_2922,384,48,3,75,66,70,14.52,22,1.14,0,0.0,0.38,0.882,0.973,0.882
Image_2921,384,48,3,67,55,61,12.4,13,1.22,1,0.04,0.38,0.962,0.981,0.898
Image_2920,384,48,3,40,79,60,10.44,12,1.98,10,0.43,0.68,0.686,0.686,0.48
Image_2918,384,48,3,47,49,48,1.7,0,1.04,12,0.32,0.52,0.806,0.806,0.469
Image_2916,384,48,3,17,18,18,2.78,30,1.06,51,0.34,0.52,0.851,0.83,0.028
Image_2915,384,48,3,45,48,46,3.97,2,1.07,3,0.05,0.44,0.865,0.895,0.123
Image_2914,384,48,3,33,76,54,3.09,6,2.3,2,0.07,0.38,0.966,0.909,0.24
Image_2913,384,48,3,69,72,70,7.9,22,1.04,7,0.82,0.54,0.696,0.696,0.696
Image_2912,384,48,3,34,36,35,1.03,13,1.06,1,0.01,0.42,0.934,0.972,0.2
Image_2910,384,48,3,49,177,113,1.35,65,3.61,9,0.38,0.66,0.757,0.757,0.494
Image_2908,384,48,3,44,53,48,4.41,0,1.2,0,0.0,0.36,0.918,0.985,0.582
Image_2248,384,48,3,38,56,47,2.96,1,1.47,12,0.18,0.46,0.898,0.898,0.107
Image_2225,384,48,3,94,109,102,13.89,54,1.16,0,0.0,0.57,0.973,0.944,0.417
Image_2209,384,48,3,100,148,124,8.56,76,1.48,2,0.21,0.61,0.9,0.9,0.429
Image_2203,384,48,3,64,100,82,8.41,34,1.56,3,0.15,0.42,0.927,0.927,0.411
Image_2195,384,48,3,122,115,118,8.88,70,1.06,4,0.42,0.68,0.818,0.818,0.375
Image_2177,384,48,3,79,128,104,7.82,56,1.62,2,0.08,0.46,0.902,0.902,0.5
Image_2165,384,48,3,81,104,92,3.98,44,1.28,11,0.31,0.52,0.814,0.793,0.154
Image_2155,384,48,3,101,95,98,3.77,50,1.06,4,0.18,0.63,0.872,0.9,0.364
Image_2152,384,48,3,72,127,100,26.52,52,1.76,5,0.29,0.38,0.849,0.824,0.24
Image_2142,384,48,3,76,87,82,15.41,34,1.14,3,0.08,0.47,0.93,0.914,0.293
Image_2141,384,48,3,83,109,96,7.47,48,1.31,1,0.1,0.44,0.952,0.851,0.429
Image_2138,384,48,3,53,83,68,7.41,20,1.57,6,0.26,0.41,0.885,0.885,0.389
Image_2140,384,48,3,77,73,75,17.72,27,1.05,5,0.19,0.51,0.894,0.894,0.385
Image_2051,384,48,3,102,56,79,9.09,31,1.82,6,0.28,0.66,0.833,0.833,0.235
Image_2036,384,48,3,76,51,64,4.55,16,1.49,5,0.15,0.77,0.857,0.815,0.5
Image_2035,384,48,3,108,40,74,5.26,26,2.7,13,0.31,0.79,0.738,0.758,0.377
Image_2026,384,48,3,83,58,70,4.52,22,1.43,7,0.3,0.85,0.821,0.821,0.769
Image_2019,384,48,3,119,81,100,5.13,52,1.47,16,0.52,0.83,0.636,0.636,0.324
Image_2018,384,48,3,34,73,54,4.33,6,2.15,29,0.3,0.7,0.78,0.788,0.085
Image_2011,384,48,3,55,35,45,2.34,3,1.57,53,0.4,0.69,0.749,0.749,0.049
Image_2009,384,48,3,29,22,26,0.94,22,1.32,316,0.61,0.77,0.556,0.556,0.02
Image_2008,384,48,3,51,46,48,2.13,0,1.11,77,0.64,0.8,0.522,0.522,0.091
Image_2007,384,48,3,41,36,38,13.34,10,1.14,46,0.3,0.67,0.811,0.7,0.036
Image_2005,384,48,3,31,24,28,0.47,20,1.29,195,0.58,0.78,0.589,0.589,0.051
Image_2004,384,48,3,35,22,28,1.89,20,1.59,253,0.53,0.73,0.641,0.641,0.018
Image_1493,384,48,3,17,28,22,1.32,26,1.65,52,3.35,0.27,0.361,0.356,0.029
Image_1463,384,48,3,31,37,34,6.78,14,1.19,12,0.25,0.31,0.872,0.863,0.0
Image_1461,384,48,3,15,23,19,1.67,29,1.53,69,2.26,0.37,0.461,0.458,0.078
Image_1456,384,48,3,15,21,18,2.32,30,1.4,60,0.48,0.49,0.781,0.778,0.04
Image_1130,384,48,3,15,10,12,1.7,36,1.5,22,0.56,0.92,0.248,0.248,0.0
Image_1106,384,48,3,31,28,30,5.92,18,1.11,2,0.04,0.65,0.5,0.406,0.166
Image_998,384,48,3,34,42,38,2.51,10,1.24,1,0.04,0.6,0.837,0.649,0.506
Image_996,384,48,3,59,78,68,8.63,20,1.32,1,0.06,0.55,0.88,0.912,0.912
Image_993,384,48,3,59,75,67,11.75,19,1.27,5,0.4,0.36,0.828,0.828,0.919
Image_991,384,48,3,18,29,24,1.05,24,1.61,18,0.16,0.66,0.746,0.717,0.059
Image_990,384,48,3,19,27,23,0.94,25,1.42,2,0.02,0.64,0.686,0.701,0.052
Image_989,384,48,3,27,82,54,8.61,6,3.04,4,0.05,0.52,0.868,0.803,0.11
Image_988,384,48,3,57,114,86,2.34,38,2.0,4,0.24,0.46,0.857,0.857,0.667
Image_985,384,48,3,30,46,38,6.6,10,1.53,13,0.2,0.66,0.766,0.766,0.037
Image_907,384,48,3,48,125,86,11.0,38,2.6,13,0.31,0.67,0.667,0.708,0.129
Image_906,384,48,3,13,28,20,3.02,28,2.15,10,0.04,0.62,0.635,0.751,0.0
Image_701,384,48,3,40,73,56,2.83,8,1.82,9,0.13,0.45,0.878,0.84,0.065
Image_693,384,48,3,61,84,72,2.03,24,1.38,4,0.19,0.5,0.895,0.895,0.381
Image_680,384,48,3,53,145,99,4.26,51,2.74,6,0.32,0.58,0.8,0.8,0.667
Image_349,384,48,3,51,100,76,2.28,28,1.96,8,0.25,0.47,0.859,0.846,0.098
Image_342,384,48,3,49,64,56,21.39,8,1.31,6,0.1,0.51,0.891,0.9,0.091
Image_336,384,48,3,35,45,40,4.14,8,1.29,140,0.89,0.93,0.186,0.186,0.0
Image_330,384,48,3,84,111,98,8.1,50,1.32,30,0.54,0.69,0.625,0.625,0.148
Image_317,384,48,3,16,25,20,3.57,28,1.56,5,0.26,0.69,0.69,0.348,0.364
Image_313,384,48,3,83,125,104,10.78,56,1.51,31,0.57,0.68,0.597,0.597,0.296
Image_293,384,48,3,45,72,58,6.54,10,1.6,15,0.27,0.47,0.845,0.845,0.217
Image_291,384,48,3,54,99,76,11.11,28,1.83,4,0.38,0.45,0.755,0.833,0.833
Image_286,384,48,3,53,87,70,13.14,22,1.64,6,0.36,0.55,0.769,0.769,0.286
Image_2,384,48,3,50,82,66,1.94,18,1.64,2,0.31,0.4,0.857,0.857,0.857
Image_7645,384,64,3,43,145,94,5.91,30,3.37,26,0.64,0.79,0.519,0.519,0.533
Image_7095,384,64,3,35,116,76,3.4,12,3.31,33,0.4,0.56,0.713,0.742,0.11
Image_7661,384,64,3,30,41,36,3.7,28,1.37,15,0.29,0.48,0.828,0.828,0.235
Image_7662,384,64,3,47,35,41,3.97,23,1.34,4,0.12,0.44,0.921,0.938,0.125
Image_6661,384,64,3,11,12,12,0.71,52,1.09,67,0.22,0.67,0.872,0.814,0.051
Image_6660,384,64,3,279,30,154,2.16,90,9.3,5,0.32,0.87,0.235,0.125,0.424
Image_6659,384,64,3,40,323,182,2.49,118,8.07,6,0.39,0.76,0.333,0.421,0.444
Image_6658,384,64,3,15,9,12,1.7,52,1.67,168,0.32,0.79,0.274,0.294,0.0
Image_6657,384,64,3,25,25,25,7.83,39,1.0,12,0.11,0.45,0.854,0.73,0.263
Image_6656,384,64,3,29,30,30,2.13,34,1.03,9,0.08,0.38,0.952,0.952,0.131
Image_6655,384,64,3,9,73,41,1.47,23,8.11,33,0.12,0.56,0.37,0.404,0.0
Image_6653,384,64,3,17,21,19,1.48,45,1.24,13,0.04,0.51,0.908,0.862,0.013
Image_6652,384,64,3,41,79,60,1.73,4,1.93,3,0.1,0.31,0.905,0.952,0.881
Image_6651,384,64,3,40,151,96,5.4,32,3.77,4,0.26,0.7,0.399,0.399,0.324
Image_6650,384,64,3,75,90,82,4.31,18,1.2,12,1.41,0.25,0.571,0.571,0.71
Image_6649,384,64,3,17,46,32,18.54,32,2.71,4,0.04,0.51,0.675,0.444,0.053
Image_6648,384,64,3,20,19,20,1.09,44,1.05,9,0.23,0.6,0.841,0.829,0.08
Image_6645,384,64,3,34,32,33,2.78,31,1.06,1,0.03,0.36,0.986,0.986,0.364
Image_6644,384,64,3,6,12,9,0.71,55,2.0,116,0.19,0.81,0.696,0.617,0.056
Image_5944,384,64,3,40,57,48,2.85,16,1.43,2,0.15,0.41,0.815,0.72,0.348
Image_5940,384,64,3,78,79,78,13.21,14,1.01,12,0.77,0.35,0.714,0.656,0.138
Image_5939,384,64,3,83,133,108,18.67,44,1.6,5,1.43,0.64,0.48,0.545,0.857
Image_5938,384,64,3,57,88,72,6.97,8,1.54,9,0.4,0.41,0.83,0.797,0.693
Image_5936,384,64,3,54,69,62,2.19,2,1.28,10,1.18,0.24,0.615,0.589,1.0
Image_5934,384,64,3,61,84,72,7.26,8,1.38,0,0.0,0.45,0.903,0.903,0.462
Image_5933,384,64,3,79,44,62,6.98,2,1.8,1,0.07,0.49,0.818,0.7,0.323
Image_5932,384,64,3,99,64,82,4.21,18,1.55,3,0.17,0.35,0.919,0.919,0.947
Image_5931,384,64,3,86,137,112,8.67,48,1.59,5,1.11,0.75,0.615,0.615,0.364
Image_5930,384,64,3,65,71,68,2.72,4,1.09,1,0.06,0.6,0.75,0.846,0.691
Image_5929,384,64,3,32,57,44,3.11,20,1.78,28,0.58,0.28,0.774,0.774,0.383
Image_5926,384,64,3,42,73,58,1.05,6,1.74,2,0.24,0.39,0.836,0.836,0.698
Image_5925,384,64,3,138,98,118,19.77,54,1.41,13,1.37,0.29,0.581,0.56,0.167
Image_5924,384,64,3,101,103,102,6.4,38,1.02,9,1.2,0.26,0.609,0.609,0.897
Image_5923,384,64,3,81,68,74,3.3,10,1.19,0,0.0,0.47,0.96,0.818,0.8
Image_5922,384,64,3,26,36,31,0.94,33,1.38,14,0.28,0.61,0.833,0.744,0.167
Image_5921,384,64,3,51,76,64,1.82,0,1.49,8,0.36,0.36,0.846,0.846,0.462
Image_5918,384,64,3,72,53,62,3.25,2,1.36,4,0.47,0.48,0.706,0.645,0.642
Image_5917,384,64,3,53,74,64,1.57,0,1.4,2,0.19,0.54,0.816,0.816,0.764
Image_5915,384,64,3,49,56,52,2.87,12,1.14,0,0.0,0.45,0.909,0.909,0.48
Image_5602,384,64,3,54,74,64,1.57,0,1.37,10,0.32,0.53,0.784,0.784,0.654
Image_5601,384,64,3,54,74,64,1.67,0,1.37,7,0.24,0.54,0.863,0.863,0.819
Image_5600,384,64,3,21,24,22,1.05,42,1.14,13,0.1,0.41,0.927,0.923,0.026
Image_5598,384,64,3,58,79,68,1.71,4,1.36,23,0.49,0.63,0.667,0.667,0.148
Image_5596,384,64,3,35,49,42,4.73,22,1.4,2,0.05,0.44,0.976,0.963,0.261
Image_5595,384,64,3,69,92,80,4.59,16,1.33,1,0.07,0.54,0.966,0.966,0.636
Image_5594,384,64,3,60,77,68,2.89,4,1.28,14,0.47,0.67,0.682,0.651,0.393
Image_5593,384,64,3,49,65,57,3.83,7,1.33,5,0.18,0.47,0.88,0.809,0.748
Image_5592,384,64,3,37,21,29,1.18,35,1.76,10,0.1,0.41,0.949,0.933,0.021
Image_5591,384,64,3,65,47,56,2.98,8,1.38,12,0.27,0.48,0.842,0.842,0.306
Image_5590,384,64,3,74,102,88,7.77,24,1.38,1,0.05,0.45,0.8,0.759,0.835
Image_5588,384,64,3,36,42,39,2.51,25,1.17,21,0.3,0.49,0.824,0.824,0.339
Image_5587,384,64,3,57,72,64,2.1,0,1.26,10,0.38,0.58,0.7,0.667,0.707
Image_5585,384,64,3,44,59,52,3.3,12,1.34,15,0.32,0.51,0.81,0.795,0.3
Image_5584,384,64,3,37,27,32,3.11,32,1.37,11,0.18,0.5,0.893,0.862,0.175
Image_5583,384,64,3,52,68,60,2.11,4,1.31,2,0.19,0.33,0.909,0.909,0.857
Image_5582,384,64,3,37,38,38,2.05,26,1.03,15,0.46,0.25,0.81,0.81,0.379
Image_5581,384,64,3,72,101,86,4.3,22,1.4,2,0.31,0.6,0.857,0.857,0.667
Image_5580,384,64,3,42,48,45,1.94,19,1.14,12,0.22,0.54,0.875,0.875,0.25
